place;country_code;date;total_cases
Wuhan;CHN;11.01.20;0
China;CHN;13.01.20;0
Thailand;THA;13.01.20;0
China;CHN;15.01.20;0
Thailand;THA;15.01.20;0
China;CHN;15.01.20;0
Japan;JPN;15.01.20;0
China;CHN;20.01.20;0
Thailand;THA;20.01.20;0
China;CHN;20.01.20;0
Japan;JPN;20.01.20;0
China;CHN;20.01.20;0
Malaysia;MYS;20.01.20;0
China;CHN;21.01.20;0
Thailand;THA;21.01.20;0
China;CHN;21.01.20;0
Japan;JPN;21.01.20;0
China;CHN;21.01.20;0
Malaysia;MYS;21.01.20;0
China;CHN;21.01.20;0
USA;USA;21.01.20;0
China;CHN;21.01.20;0
Taiwan;TWN;21.01.20;0
China;CHN;21.01.20;0
Republic of Korea;KOR;21.01.20;0
China;CHN;24.01.20;0
Thailand;THA;24.01.20;0
China;CHN;24.01.20;0
Japan;JPN;24.01.20;0
China;CHN;24.01.20;0
Malaysia;MYS;24.01.20;0
China;CHN;24.01.20;0
USA;USA;24.01.20;0
China;CHN;24.01.20;0
Taiwan;TWN;24.01.20;0
China;CHN;24.01.20;0
Republic of Korea;KOR;24.01.20;0
China;CHN;24.01.20;0
Vietnam;VNM;24.01.20;0
China;CHN;24.01.20;0
Singapore;SGP;24.01.20;0
China;CHN;25.01.20;0
Thailand;THA;25.01.20;0
China;CHN;25.01.20;0
Japan;JPN;25.01.20;0
China;CHN;25.01.20;0
Malaysia;MYS;25.01.20;0
China;CHN;25.01.20;0
USA;USA;25.01.20;0
China;CHN;25.01.20;0
Taiwan;TWN;25.01.20;0
China;CHN;25.01.20;0
Republic of Korea;KOR;25.01.20;0
China;CHN;25.01.20;0
Vietnam;VNM;25.01.20;0
China;CHN;25.01.20;0
Singapore;SGP;25.01.20;0
China;CHN;25.01.20;0
Australia;AUS;25.01.20;0
China;CHN;25.01.20;0
France;FRA;25.01.20;0
China;CHN;25.01.20;0
India;IND;25.01.20;0
China;CHN;25.01.20;0
Nepal;NPL;25.01.20;0
China;CHN;26.01.20;0
Thailand;THA;26.01.20;0
China;CHN;26.01.20;0
Japan;JPN;26.01.20;0
China;CHN;26.01.20;0
Malaysia;MYS;26.01.20;0
China;CHN;26.01.20;0
USA;USA;26.01.20;0
China;CHN;26.01.20;0
Taiwan;TWN;26.01.20;0
China;CHN;26.01.20;0
Republic of Korea;KOR;26.01.20;0
China;CHN;26.01.20;0
Vietnam;VNM;26.01.20;0
China;CHN;26.01.20;0
Singapore;SGP;26.01.20;0
China;CHN;26.01.20;0
Australia;AUS;26.01.20;0
China;CHN;26.01.20;0
France;FRA;26.01.20;0
China;CHN;26.01.20;0
India;IND;26.01.20;0
China;CHN;26.01.20;0
Nepal;NPL;26.01.20;0
China;CHN;26.01.20;0
Canada;CDN;26.01.20;0
China;CHN;26.01.20;0
Sweden;SWE;26.01.20;0
China;CHN;27.01.20;0
Thailand;THA;27.01.20;0
China;CHN;27.01.20;0
Japan;JPN;27.01.20;0
China;CHN;27.01.20;0
Malaysia;MYS;27.01.20;0
China;CHN;27.01.20;0
USA;USA;27.01.20;0
China;CHN;27.01.20;0
Taiwan;TWN;27.01.20;0
China;CHN;27.01.20;0
Republic of Korea;KOR;27.01.20;0
China;CHN;27.01.20;0
Vietnam;VNM;27.01.20;0
China;CHN;27.01.20;0
Singapore;SGP;27.01.20;0
China;CHN;27.01.20;0
Australia;AUS;27.01.20;0
China;CHN;27.01.20;0
France;FRA;27.01.20;0
China;CHN;27.01.20;0
India;IND;27.01.20;0
China;CHN;27.01.20;0
Nepal;NPL;27.01.20;0
China;CHN;27.01.20;0
Canada;CDN;27.01.20;0
China;CHN;27.01.20;0
Sweden;SWE;27.01.20;0
China;CHN;27.01.20;0
UAE;ARE;27.01.20;0
China;CHN;28.01.20;0
Thailand;THA;28.01.20;0
China;CHN;28.01.20;0
Japan;JPN;28.01.20;0
China;CHN;28.01.20;0
Malaysia;MYS;28.01.20;0
China;CHN;28.01.20;0
USA;USA;28.01.20;0
China;CHN;28.01.20;0
Taiwan;TWN;28.01.20;0
China;CHN;28.01.20;0
Republic of Korea;KOR;28.01.20;0
China;CHN;28.01.20;0
Vietnam;VNM;28.01.20;0
China;CHN;28.01.20;0
Singapore;SGP;28.01.20;0
China;CHN;28.01.20;0
Australia;AUS;28.01.20;0
China;CHN;28.01.20;0
France;FRA;28.01.20;0
China;CHN;28.01.20;0
India;IND;28.01.20;0
China;CHN;28.01.20;0
Nepal;NPL;28.01.20;0
China;CHN;28.01.20;0
Canada;CDN;28.01.20;0
China;CHN;28.01.20;0
Sweden;SWE;28.01.20;0
China;CHN;28.01.20;0
UAE;ARE;28.01.20;0
China;CHN;28.01.20;0
Germany;DEU;28.01.20;0
China;CHN;28.01.20;0
Sri Lanka;LKA;28.01.20;0
China;CHN;28.01.20;0
Cambodia;KHM;28.01.20;0
China;CHN;30.01.20;0
Thailand;THA;30.01.20;0
China;CHN;30.01.20;0
Japan;JPN;30.01.20;0
China;CHN;30.01.20;0
Malaysia;MYS;30.01.20;0
China;CHN;30.01.20;0
USA;USA;30.01.20;0
China;CHN;30.01.20;0
Taiwan;TWN;30.01.20;0
China;CHN;30.01.20;0
Republic of Korea;KOR;30.01.20;0
China;CHN;30.01.20;0
Vietnam;VNM;30.01.20;0
China;CHN;30.01.20;0
Singapore;SGP;30.01.20;0
China;CHN;30.01.20;0
Australia;AUS;30.01.20;0
China;CHN;30.01.20;0
France;FRA;30.01.20;0
China;CHN;30.01.20;0
India;IND;30.01.20;0
China;CHN;30.01.20;0
Nepal;NPL;30.01.20;0
China;CHN;30.01.20;0
Canada;CDN;30.01.20;0
China;CHN;30.01.20;0
Sweden;SWE;30.01.20;0
China;CHN;30.01.20;0
UAE;ARE;30.01.20;0
China;CHN;30.01.20;0
Germany;DEU;30.01.20;0
China;CHN;30.01.20;0
Sri Lanka;LKA;30.01.20;0
China;CHN;30.01.20;0
Cambodia;KHM;30.01.20;0
China;CHN;30.01.20;0
Finland;FIN;30.01.20;0
China;CHN;30.01.20;0
Phillipines;PHL;30.01.20;0
China;CHN;31.01.20;0
Thailand;THA;31.01.20;0
China;CHN;31.01.20;0
Japan;JPN;31.01.20;0
China;CHN;31.01.20;0
Malaysia;MYS;31.01.20;0
China;CHN;31.01.20;0
USA;USA;31.01.20;0
China;CHN;31.01.20;0
Taiwan;TWN;31.01.20;0
China;CHN;31.01.20;0
Republic of Korea;KOR;31.01.20;0
